グラフ中のタイトルをsに設定する	plt.title(s)
リストxdataとリストydataについて折れ線グラフを描画して、その色をライトスレイグレーに設定する	plt.plot(xdata, ydata, color='lightslategray')
データフレームdfのカラムcolのn分位数	df[col].quantile(n/100)
デックdeqに文字列elementをプッシュする	deq.append(element)
タプルatupleの末尾を取り除く	atuple[:-1]
データフレームdfのカラムcolの欠損値を直前の値で埋める	df[col].fillna(method='ffill')
nがn2以上か調べる	n >= n2
日時dtが何分か知る	dt.minite
データフレームdfのリストalistカラムの欠損値を最小値に設定する	df[alist].fillna(df[alist].min())
ライトスレイグレー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='lightslategrey')
リストxdataとリストydataについてブランチドアーモンド色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='blanchedalmond')
カラーコードrgbの下三角マーカーで散布図を描画する	plt.plot(xdata, ydata, marker='v', c=rgb)
エクセルファイルファイルfilenameをデータフレームとして読み込む	pd.read_excel(filename)
データフレームdfのリストalistカラムの欠損値を直前の値で埋める	df[alist].fillna(method='ffill')
リストalistを四分位数ごとにビン分割する	pd.qcut(alist, 4)
nかけるn2	n * n2
ファイルfilenameからバイナリ書き込みストリームをオープンして]、fとする	f = open(filename, mode='wb')
青色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='blue')
sを緑色で表示する	print(f'\033[32m{s}\033[0m')
破線グラフの色をイエローグリーンに設定する	plt.plot(xdata, ydata, linestyle='dash', color='yellowgreen')
リストxdataとリストydataについて折れ線グラフを描画して、その色をディープスカイブルーに設定する	plt.plot(xdata, ydata, color='deepskyblue')
パパイヤウィップ色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='papayawhip')
二進sを整数に変換する	int(s, 2)
グレー色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='grey')
ミディアムブルー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='mediumblue')
sの英大文字を英小文字に変換する	s.lower()
辞書adictからkeyを取り除く	adict.pop(key)
昨日の日付	datetime.date.today() - datetime.timedelta(days=1)
a(リスト)をflattenする	list(itertools.chain.from_iterable(a))
折れ線グラフの色をホットピンクに設定する	plt.plot(xdata, ydata, color='hotpink')
散布図にコーンフラワーブルー色のマーカーを使う	plt.plot(xdata, ydata, c='cornflowerblue')
折れ線グラフのバツマーカーの線幅をnに設定する	plt.plot(xdata, ydata, marker='x', markeredgewidth=n)
リストxdataとリストydataについての散布図をホットピンク色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='hotpink', alpha=0.5)
リストxdataとリストydataについて散布図を描画して、マーカーの色をミディアムブルーに設定する	plt.plot(xdata, ydata, c='mediumblue')
TSV形式のファイルからデータフレームを読み込む	pd.read_csv(filename, sep='\t', encoding='utf-8')
パウダーブルー色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='powderblue')
ダークブルー色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='darkblue')
散布図にグレー色のマーカーを使う	plt.plot(xdata, ydata, c='grey')
イエローグリーン色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='yellowgreen')
リストxdataとリストydataの折れ線グラフに、黒い三角マーカーを描画する	plt.plot(xdata, ydata, marker='^', markerfacecolor='k')
リストxdataとリストydataについて折れ線グラフを描画して、その色をサンディーブラウンに設定する	plt.plot(xdata, ydata, color='sandybrown')
数式として、sをシンボルにして、zにする	z = sympy.symbol(s)
リストxdataをコーラル色のヒストグラムで描画する	plt.hist(xdata, color='coral')
リストxdataとリストydataについて折れ線グラフを描画して、その色をタンに設定する	plt.plot(xdata, ydata, color='tan')
リストxdataをオーキッド色のヒストグラムで描画する	plt.hist(xdata, color='orchid')
n年n2月を日時に変換する	datetime.datetime(year=n, month=n2, day=1)
リストxdataとリストydataについての散布図にカラーコードrgbのダイアモンドマーカーを描画する	plt.plot(xdata, ydata, marker='D', c=rgb)
リストxdataとリストydataについての散布図をティール色で描画する	plt.plot(xdata, ydata, c='teal')
セットaset⊃セットaset2	aset > aset2
リストxdataとリストydataについての散布図をイエローグリーン色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='yellowgreen', alpha=0.5)
データ列dsのタイムゾーンを日本に設定する	ds.tz_convert('Asia/Tokyo')
xの小数点以下'1'桁までを表示する	print(':.1f'.format(x))
nからn2までのn3ごとによるスライス	slice(n, n2, n3)
リストxdataとリストydataについて折れ線グラフを描画して、その色をライトイエローに設定する	plt.plot(xdata, ydata, color='lightyellow')
数式として、eの展開を行う	sympy.expand(e)
リストxdataとリストydataの折れ線グラフに、大きさnの大バツマーカーを描画する	plt.plot(xdata, ydata, marker='X', markersize=n)
ダークシアグリーン色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='darkseagreen', alpha=0.5)
nとn2の差	n - n2
ライトグレー色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='lightgray')
タプルatupleの先頭	atuple[0]
xの仮数	math.frexp(x)[0]
散布図にカラーコードrgbの左三角マーカーを使う	plt.plot(xdata, ydata, marker='<', c=rgb)
データフレームdfのカラムcolとカラムcol2毎の最大値	df.groupby([col, col2], as_index=False).max()
リストxdataをオールドレース色のヒストグラムで描画する	plt.hist(xdata, color='oldlace')
スカイブルー色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='skyblue', alpha=0.5)
商と余りを同時に計算する	divmod(x, x2)
カラーバーを横向きで付ける	plt.colorbar(orientation='horizontal')
データフレームdfをタブ区切りでJSONLファイルfilenameに保存する	df.to_csv(filename, sep='\t')
n2がnより大きく、かつ、n3未満か調べる	n < n2 and n2 < n3
リストxdataをスラグレー色のヒストグラムで描画する	plt.hist(xdata, color='slategrey')
折れ線グラフの色をライトスカイブルーに設定する	plt.plot(xdata, ydata, color='lightskyblue')
ファイルfilenameをUTF8でオープンする]	open(filename, encoding='utf-8')
現在が何秒か知る	datetime.date.today().second
ダークシアグリーン色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='darkseagreen')
リストxdataをブランチドアーモンド色のヒストグラムで描画する	plt.hist(xdata, color='blanchedalmond')
本日の日付	datetime.date.today()
データフレームdfのリストalistカラムが正規分布からどの程度、尖っているか見る	df[alist].skew()
破線グラフの色をダークスラテグレーに設定する	plt.plot(xdata, ydata, linestyle='dash', color='darkslategray')
オレンジ色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='orange')
日時dtをsでフォーマットする	dt.strftime()
日付adateをn時間前に戻す	adate - datetime.timedelta(hours=n)
nを切り捨てながら半分にする	n //= 2
ライトグリーン色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='lightgreen')
リストxdataとリストydataについて散布図を描画して、マーカーの色をマゼンタに設定する	plt.plot(xdata, ydata, c='magenta')
サーモン色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='salmon', alpha=0.5)
日時dtが日時dt2より後ろか調べる	dt > dt2
ライムグリーン色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='limegreen')
辞書adictのコピーを得る	dict(adict)
リストxdataとリストydataについての散布図をインディアンレッド色で描画する	plt.plot(xdata, ydata, c='indianred')
一点鎖線グラフを描画する	plt.plot(xdata, ydata, linestyle='dashbot')
散布図にシャルトルーズ色のマーカーを使う	plt.plot(xdata, ydata, c='chartreuse')
リストxdataとリストydataについて折れ線グラフを描画して、その色をグリーンに設定する	plt.plot(xdata, ydata, color='green')
リストxdataとリストydataについての散布図をディープスカイブルー色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='deepskyblue', alpha=0.5)
リストxdataをミディアムアクアマリン色のヒストグラムで描画する	plt.hist(xdata, color='mediumaquamarine')
リストxdataとリストydataについてハニーデュー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='honeydew')
